,tname,specie,lenght,er,param,cov,model,mapped,unmapped,wrongalign,r0,r5,r10,r20,TP,FN,FP,precison,recall,f1score,bc_TP,bc_FN,bc_FP,bc_precison,bc_recall,bc_f1score
25,winnowmap2,covid,500,0.95,-k#15#-w#1.vcf,10,r103,597,0,0,156,93,102,177,30,297,15,0.6666666666666666,0.09174311926605505,0.16129032258064516,33,294,20,0.6226415094339622,0.10091743119266056,0.1736842105263158
26,winnowmap2,covid,500,0.95,-k#12#-w#4.vcf,10,r103,597,0,0,156,93,102,177,29,298,15,0.6590909090909091,0.08868501529051988,0.15633423180592992,33,294,20,0.6226415094339622,0.10091743119266056,0.1736842105263158
27,winnowmap2,covid,6000,0.95,#.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
28,winnowmap2,covid,6000,0.95,-k#15#-w#1.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
29,winnowmap2,covid,6000,0.95,-k#12#-w#4.vcf,10,r103,48,0,0,12,4,6,18,34,293,103,0.24817518248175183,0.10397553516819572,0.14655172413793105,48,279,11,0.8135593220338984,0.14678899082568808,0.24870466321243526
30,magicblast,covid,500,0.95,-splice#F.vcf,10,r103,542,55,0,99,44,51,91,28,299,14,0.6666666666666666,0.0856269113149847,0.15176151761517614,44,283,2,0.9565217391304348,0.1345565749235474,0.23592493297587128
31,magicblast,covid,500,0.95,-splice#F##-word§size#16.vcf,10,r103,542,55,0,99,44,51,91,29,298,14,0.6744186046511628,0.08868501529051988,0.15675675675675674,44,283,2,0.9565217391304348,0.1345565749235474,0.23592493297587128
32,magicblast,covid,500,0.95,-splice#F#-word§size#22#.vcf,10,r103,540,57,0,99,42,51,91,29,298,14,0.6744186046511628,0.08868501529051988,0.15675675675675674,44,283,2,0.9565217391304348,0.1345565749235474,0.23592493297587128
33,magicblast,covid,6000,0.95,-splice#F.vcf,10,r103,47,1,0,3,0,0,1,36,291,33,0.5217391304347826,0.11009174311926606,0.18181818181818182,32,295,0,1.0,0.09785932721712538,0.17827298050139276
34,magicblast,covid,6000,0.95,-splice#F##-word§size#16.vcf,10,r103,47,1,0,3,0,0,1,36,291,33,0.5217391304347826,0.11009174311926606,0.18181818181818182,32,295,0,1.0,0.09785932721712538,0.17827298050139276
