VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	110	106	996	8	0.929825	0.099458	0.179694	0.860242
INDEL	BEST	0	110	106	996	8	0.929825	0.099458	0.179694	0.860242
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	110	106	1666	8	0.929825	0.061937	0.116138	0.536154
ALL	BEST	0	110	106	1666	8	0.929825	0.061937	0.116138	0.536154
