VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	40	40	630	0	1.000000	0.059701	0.112676	0.519178
SNP	BEST	0	40	40	630	0	1.000000	0.059701	0.112676	0.519178
INDEL	NONE	0	108	104	998	6	0.945455	0.097649	0.177016	0.846084
INDEL	BEST	0	108	104	998	6	0.945455	0.097649	0.177016	0.846084
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	148	144	1628	6	0.960000	0.083333	0.153355	0.722985
ALL	BEST	0	148	144	1628	6	0.960000	0.083333	0.153355	0.722985
