VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	142	138	964	18	0.884615	0.128391	0.224236	1.102705
INDEL	BEST	0	142	138	964	18	0.884615	0.128391	0.224236	1.102705
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	142	138	1634	18	0.884615	0.079955	0.146655	0.688752
ALL	BEST	0	142	138	1634	18	0.884615	0.079955	0.146655	0.688752
