VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	96	92	1010	8	0.920000	0.086799	0.158632	0.750141
INDEL	BEST	0	96	92	1010	8	0.920000	0.086799	0.158632	0.750141
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	96	92	1680	8	0.920000	0.054054	0.102109	0.467763
ALL	BEST	0	96	92	1680	8	0.920000	0.054054	0.102109	0.467763
