VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	40	40	630	0	1.000000	0.059701	0.112676	0.519178
SNP	BEST	0	40	40	630	0	1.000000	0.059701	0.112676	0.519178
INDEL	NONE	0	110	106	996	6	0.946429	0.099458	0.179999	0.861858
INDEL	BEST	0	110	106	996	6	0.946429	0.099458	0.179999	0.861858
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	150	146	1626	6	0.960526	0.084459	0.155266	0.732802
ALL	BEST	0	150	146	1626	6	0.960526	0.084459	0.155266	0.732802
