VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	28	24	1078	4	0.857143	0.025316	0.049180	0.219018
INDEL	BEST	0	28	24	1078	4	0.857143	0.025316	0.049180	0.219018
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	28	24	1748	4	0.857143	0.015766	0.030962	0.136592
ALL	BEST	0	28	24	1748	4	0.857143	0.015766	0.030962	0.136592
