VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	98	94	1008	8	0.921569	0.088608	0.161671	0.765854
INDEL	BEST	0	98	94	1008	8	0.921569	0.088608	0.161671	0.765854
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	98	94	1678	8	0.921569	0.055180	0.104126	0.477529
ALL	BEST	0	98	94	1678	8	0.921569	0.055180	0.104126	0.477529
