VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	108	104	998	8	0.928571	0.097649	0.176715	0.844497
INDEL	BEST	0	108	104	998	8	0.928571	0.097649	0.176715	0.844497
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	108	104	1668	8	0.928571	0.060811	0.114146	0.526380
ALL	BEST	0	108	104	1668	8	0.928571	0.060811	0.114146	0.526380
