VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	148	144	958	18	0.888889	0.133816	0.232613	1.149855
INDEL	BEST	0	148	144	958	18	0.888889	0.133816	0.232613	1.149855
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	148	144	1628	18	0.888889	0.083333	0.152381	0.717993
ALL	BEST	0	148	144	1628	18	0.888889	0.083333	0.152381	0.717993
