VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	146	142	960	20	0.876543	0.132007	0.229458	1.132037
INDEL	BEST	0	146	142	960	20	0.876543	0.132007	0.229458	1.132037
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	146	142	1630	20	0.876543	0.082207	0.150317	0.707430
ALL	BEST	0	146	142	1630	20	0.876543	0.082207	0.150317	0.707430
