VAR_TYPE	THRESHOLD	MIN_QUAL	TRUTH_TP	QUERY_TP	TRUTH_FN	QUERY_FP	PREC	RECALL	F1_SCORE	F1_QSCORE
SNP	NONE	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
SNP	BEST	0	0	0	670	0	1.000000	0.000000	0.000000	0.000000
INDEL	NONE	0	154	150	952	18	0.892857	0.139241	0.240911	1.197074
INDEL	BEST	0	154	150	952	18	0.892857	0.139241	0.240911	1.197074
SV	NONE	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
SV	BEST	0	0	0	0	0	1.000000	1.000000	1.000000	100.000000
ALL	NONE	0	154	150	1622	18	0.892857	0.086712	0.158072	0.747250
ALL	BEST	0	154	150	1622	18	0.892857	0.086712	0.158072	0.747250
